,Area Name,Total/ Rural/Urban,Age-group,Total disabled population - Persons,Total disabled population - Males,Total disabled population - Females,Main worker - Persons,Main worker - Males,Main worker - Females,Non-worker - Persons,Non-worker - Males,Non-worker - Females
141,PUNJAB,Rural,15-59,0.00250382304765759,43329,0.3546470062555853,24870,0.32579684241882634,0.04462317545427465,36838,0.2616473041406017,0.2870271075364909
142,PUNJAB,Rural,60+,0.0007436884006015441,11638,0.4164075819877645,2771,0.1255641359943837,0.013388827600040116,16563,0.4368669140507472,0.393691705947247
143,PUNJAB,Rural,Age not stated,5.332837292449143e-06,95,0.3356643356643357,42,0.25874125874125875,0.03496503496503497,90,0.34265734265734266,0.2867132867132867
144,PUNJAB,Rural,0-14,0.00025165025209403365,4087,0.39433906342620034,84,0.00992886781268524,0.0025192649673977476,6606,0.5917308832246592,0.3872258446947244
145,PUNJAB,Rural,15-59,0.0007784823669921388,12854,0.38423952095808384,3264,0.13738922155688624,0.01897005988023952,16578,0.44364071856287424,0.35051497005988025
146,PUNJAB,Rural,60+,8.484059328896363e-05,1248,0.4514285714285714,381,0.149010989010989,0.018461538461538463,1788,0.37054945054945054,0.4153846153846154
147,PUNJAB,Rural,Age not stated,1.67816558153994e-06,27,0.4,9,0.15555555555555556,0.044444444444444446,36,0.4444444444444444,0.35555555555555557
148,PUNJAB,Rural,0-14,5.5864267581040664e-05,948,0.3671562082777036,16,0.00801068090787717,0.0026702269692923898,1466,0.616822429906542,0.36181575433911883
149,PUNJAB,Rural,15-59,0.00039440620423036453,6693,0.3671520423600605,1500,0.12537821482602118,0.016452344931921332,8435,0.4629349470499244,0.334625567322239
150,PUNJAB,Rural,60+,0.00011374233385992927,1710,0.43934426229508194,284,0.07967213114754099,0.013442622950819673,2673,0.45901639344262296,0.41737704918032786
151,PUNJAB,Rural,Age not stated,9.696067804452986e-07,13,0.5,3,0.11538461538461539,0.0,18,0.2692307692307692,0.4230769230769231
152,PUNJAB,Rural,0-14,0.0008234572045774091,12312,0.44241655722114037,414,0.012454146098455686,0.006295004755219419,21087,0.5303654725782346,0.4246184502513473
153,PUNJAB,Rural,15-59,0.0025973155168336043,41431,0.4051287205479059,29552,0.3699800422128735,0.05433112696885724,32922,0.16239033985670595,0.31030769451663387
154,PUNJAB,Rural,60+,0.0006296104336253068,10029,0.4059705028727122,4845,0.25303559793875496,0.03393946573476278,10948,0.2996505360421726,0.3488124148551798
155,PUNJAB,Rural,Age not stated,1.1038600269684938e-05,159,0.46283783783783783,61,0.16554054054054054,0.04054054054054054,225,0.34459459459459457,0.4155405405405405
156,PUNJAB,Rural,0-14,0.0002450494674733099,4196,0.3614366154314412,58,0.0060873535230558514,0.0027393090853751333,6479,0.6298889057982042,0.3561101810987673
157,PUNJAB,Rural,15-59,0.0004982287148749689,8527,0.361751497005988,1981,0.12971556886227545,0.018562874251497007,10761,0.4758233532934132,0.32964071856287425
158,PUNJAB,Rural,60+,0.0002482939209309538,3317,0.5018023430459597,512,0.06413337338540102,0.012766596575548213,5991,0.41964553920096126,0.4801742264944428
159,PUNJAB,Rural,Age not stated,1.11877705435996e-06,18,0.4,5,0.1,0.06666666666666667,25,0.5,0.3333333333333333
160,PUNJAB,Urban,0-14,0.0001927652864662211,2899,0.4391565099632424,112,0.01644418649642097,0.00522344747533372,4945,0.5327916424840394,0.4238730895724512
161,PUNJAB,Urban,15-59,0.0006038412688065491,9059,0.440526185770751,6873,0.35906620553359686,0.06540266798418973,8349,0.16434041501976285,0.3512845849802372
